#     t     Est    Nord sigE sigN
    0.0    2.61    0.02  2.0  2.0
    0.5    1.39   -0.14  2.0  2.0
    1.0   -2.84    1.19  2.0  2.0
    1.5   -1.13   -1.52  2.0  2.0
    2.0   -4.18   -1.77  2.0  2.0
    2.5   -5.66   -2.58  2.0  2.0
    3.0   -1.84   -4.91  2.0  2.0
    3.5   -1.11   -4.18  2.0  2.0
    4.0   -1.56   -9.26  2.0  2.0
    4.5   -6.85  -10.74  2.0  2.0
    5.0   -7.86  -13.00  2.0  2.0
    5.5  -11.54  -18.93  2.0  2.0
    6.0   -5.65  -20.59  2.0  2.0
    6.5   -6.70  -24.77  2.0  2.0
    7.0   -9.16  -27.71  2.0  2.0
    7.5  -13.01  -33.39  2.0  2.0
    8.0  -16.37  -32.42  2.0  2.0
    8.5  -16.16  -36.57  2.0  2.0
    9.0  -16.25  -37.12  2.0  2.0
    9.5  -11.36  -41.52  2.0  2.0
   10.0  -13.28  -46.78  2.0  2.0
   10.5  -14.58  -48.43  2.0  2.0
   11.0  -16.43  -54.22  2.0  2.0
   11.5  -17.44  -56.11  2.0  2.0
   12.0  -11.96  -59.19  2.0  2.0
   12.5  -10.85  -63.83  2.0  2.0
   13.0   -7.59  -70.26  2.0  2.0
   13.5   -9.82  -72.28  2.0  2.0
   14.0   -9.95  -77.30  2.0  2.0
   14.5  -10.02  -75.31  2.0  2.0
   15.0   -4.48  -89.42  2.0  2.0
   15.5   -4.14  -93.20  2.0  2.0
   16.0    3.14  -97.08  2.0  2.0
   16.5    3.21 -102.10  2.0  2.0
   17.0    4.60 -111.26  2.0  2.0
   17.5    8.55 -117.29  2.0  2.0
   18.0    9.87 -123.07  2.0  2.0
   18.5   13.28 -131.79  2.0  2.0
   19.0   14.95 -136.80  2.0  2.0
   19.5   13.98 -141.74  2.0  2.0
   20.0   11.38 -147.10  2.0  2.0
   20.5   14.87 -154.61  2.0  2.0
   21.0   18.73 -161.63  2.0  2.0
   21.5   17.56 -169.27  2.0  2.0
   22.0   16.31 -173.35  2.0  2.0
   22.5   22.77 -182.02  2.0  2.0
   23.0   20.90 -187.18  2.0  2.0
   23.5   24.63 -194.00  2.0  2.0
   24.0   22.87 -197.10  2.0  2.0
   24.5   31.99 -204.78  2.0  2.0
   25.0   34.28 -211.28  2.0  2.0
   25.5   37.49 -211.53  2.0  2.0
   26.0   28.75 -221.32  2.0  2.0
   26.5   33.19 -229.31  2.0  2.0
   27.0   34.18 -228.24  2.0  2.0
   27.5   36.19 -229.57  2.0  2.0
   28.0   41.95 -237.22  2.0  2.0
   28.5   45.16 -238.73  2.0  2.0
   29.0   48.29 -241.77  2.0  2.0
   29.5   51.23 -244.90  2.0  2.0
   30.0   54.24 -248.35  2.0  2.0
